content,score,label,length,tokens,adjectives,verbs,actionable,feedback_type
"we don't need ai, ts is consuming sm water and wasting it.",1,negative,58,"['need', 'ai', 'ts', 'consuming', 'sm', 'water', 'wasting']",[],"['need', 'consuming', 'wasting']",True,['request']
"Worst AI app. Always give meaningless and inaccurate answers. It's request to all users, never take any subscription of chatgpt. Your money will go into vain. Never trust Chatgpt as it always provide wrong information from websites. Rather move to other AI apps like Claude and Perplexity. Chatgpt needs to be banned immediately. It is a useless stuff. I think Chatgpt should be given zero stars. Sam Altman is doing scam with everyone worldwide.",1,negative,446,"['worst', 'ai', 'app', 'always', 'give', 'meaningless', 'inaccurate', 'answers', 'request', 'users', 'never', 'take', 'subscription', 'chatgpt', 'money', 'go', 'vain', 'never', 'trust', 'chatgpt', 'always', 'provide', 'wrong', 'information', 'websites', 'rather', 'move', 'ai', 'apps', 'like', 'claude', 'perplexity', 'chatgpt', 'needs', 'banned', 'immediately', 'useless', 'stuff', 'think', 'chatgpt', 'given', 'zero', 'stars', 'sam', 'altman', 'scam', 'everyone', 'worldwide']","['Worst', 'meaningless', 'inaccurate', 'vain', 'wrong', 'other', 'useless']","['give', 'take', 'go', 'trust', 'provide', 'move', 'needs', 'banned', 'think', 'given', 'doing']",False,"['error', 'pricing']"
OpenAI. What have you done to GPT-5.4?,1,negative,38,"['openai', 'done', 'gpt']",[],['done'],False,[]
one of the worst AI's lately,2,negative,28,"['one', 'worst', 'ai', 'lately']",['worst'],[],False,[]
It's restrictions are beyond infuriating for some of the most minor things. Needs to be worked on or it'll be worked around.,1,negative,124,"['restrictions', 'beyond', 'infuriating', 'minor', 'things', 'needs', 'worked', 'worked', 'around']",['minor'],"['infuriating', 'Needs', 'worked', 'worked']",False,[]
cant handle multiple columns and rows data from images accurately.,2,negative,66,"['cant', 'handle', 'multiple', 'columns', 'rows', 'data', 'images', 'accurately']",['multiple'],"['handle', 'rows']",False,[]
I liked it but however it is boring like sure i get not tips on violent stuff but however it doesn't make violent scenarios which makes it boring and disappointing,2,negative,163,"['liked', 'however', 'boring', 'like', 'sure', 'get', 'tips', 'violent', 'stuff', 'however', 'make', 'violent', 'scenarios', 'makes', 'boring', 'disappointing']","['boring', 'violent', 'violent', 'boring', 'disappointing']","['liked', 'get', 'make', 'makes']",False,[]
errors and problems to on paid subscription,1,negative,43,"['errors', 'problems', 'paid', 'subscription']",[],['paid'],False,['pricing']
"terrible i can't save or retrieve any of the stories I start and the instructions to do so require functions that don't appear on my app, either fix the problem or refund my subscription.😡",1,negative,188,"['terrible', 'save', 'retrieve', 'stories', 'start', 'instructions', 'require', 'functions', 'appear', 'app', 'either', 'fix', 'problem', 'refund', 'subscription']",[],"['save', 'retrieve', 'start', 'do', 'require', 'appear', 'fix', 'refund']",True,"['pricing', 'bug']"
It doesn't work on a huawei app it should be canceled #unfair,1,negative,61,"['work', 'huawei', 'app', 'canceled', 'unfair']","['huawei', 'unfair']","['work', 'canceled']",False,[]
it is very good but the chats gets locked and even the dam chat like images were manageable but chats!?!?!?! bro I was going though a hard time after a betrayal by my friends it stopped and told me to get premium like what!?!?!,1,negative,227,"['good', 'chats', 'gets', 'locked', 'even', 'dam', 'chat', 'like', 'images', 'manageable', 'chats', 'bro', 'going', 'though', 'hard', 'time', 'betrayal', 'friends', 'stopped', 'told', 'get', 'premium', 'like']","['good', 'manageable', 'hard']","['locked', 'chat', 'going', 'stopped', 'told', 'get']",False,[]
It doesn't cooperate can it be fixed?,2,negative,37,"['cooperate', 'fixed']",[],"['cooperate', 'fixed']",False,[]
Now it will reach it's limit after only 1 question!! Time to look for another ai,1,negative,80,"['reach', 'limit', 'question', 'time', 'look', 'another', 'ai']",[],"['reach', 'look']",False,[]
"The mobile version isn’t working well, it keeps getting stuck on the login page, and I can’t access my subscribed account.",1,negative,122,"['mobile', 'version', 'working', 'well', 'keeps', 'getting', 'stuck', 'login', 'page', 'access', 'subscribed', 'account']","['mobile', 'subscribed']","['working', 'keeps', 'stuck', 'access']",False,[]
this app can help in any way you want.,1,negative,38,"['app', 'help', 'way', 'want']",[],"['help', 'want']",False,['request']
This app breaks trust and steals our data.,1,negative,42,"['app', 'breaks', 'trust', 'steals', 'data']",[],"['breaks', 'steals']",False,[]
After the update start giving the wrong answer,1,negative,46,"['update', 'start', 'giving', 'wrong', 'answer']",['wrong'],['giving'],True,"['request', 'error']"
This app is trash even Gauth is better at doing homework upgrade this trash app developers,1,negative,90,"['app', 'trash', 'even', 'gauth', 'better', 'homework', 'upgrade', 'trash', 'app', 'developers']",['better'],"['doing', 'upgrade']",False,['pricing']
it's microphone and the way it gives answer is very poor if it is not subscribed,1,negative,80,"['microphone', 'way', 'gives', 'answer', 'poor', 'subscribed']","['microphone', 'poor']","['gives', 'subscribed']",False,[]
very helpful for study,1,negative,22,"['helpful', 'study']",['helpful'],[],False,[]
always give wrong answer,1,negative,24,"['always', 'give', 'wrong', 'answer']",['wrong'],['give'],False,['error']
it takes 5hours to make my image,1,negative,32,"['takes', 'make', 'image']",[],"['takes', 'make']",False,[]
why not generating picture,1,negative,26,"['generating', 'picture']",[],['generating'],False,[]
this app is becoming a clown day by day,1,negative,39,"['app', 'becoming', 'clown', 'day', 'day']",['clown'],['becoming'],False,[]
When I used the website it didn't listen at all,1,negative,47,"['used', 'website', 'listen']",[],"['used', 'listen']",False,[]
this app is good but the new upadate that show chat limit is really annoying and irrating,2,negative,89,"['app', 'good', 'new', 'upadate', 'show', 'chat', 'limit', 'really', 'annoying', 'irrating']","['good', 'new', 'annoying']","['show', 'irrating']",False,['ux']
no good hacked my info,1,negative,22,"['good', 'hacked', 'info']",[],['hacked'],False,[]
not giving correct information about religion,1,negative,45,"['giving', 'correct', 'information', 'religion']",['correct'],['giving'],False,[]
"AI tak faham arahan. this AI kept repeating the same mistake, I had to tell it the way I wanted, stupid chatgpt!",1,negative,112,"['ai', 'tak', 'faham', 'arahan', 'ai', 'kept', 'repeating', 'mistake', 'tell', 'way', 'wanted', 'stupid', 'chatgpt']","['same', 'stupid']","['kept', 'repeating', 'had', 'tell', 'wanted']",False,[]
facing issue in Chatgpt mic to record voice getting errors,1,negative,58,"['facing', 'issue', 'chatgpt', 'mic', 'record', 'voice', 'getting', 'errors']",[],"['facing', 'record', 'getting']",False,[]
99% inaccurate information,1,negative,26,"['inaccurate', 'information']",['inaccurate'],[],False,[]
login is broken. just loads. reinstall does not change anything. browser works 100% with login,1,negative,94,"['login', 'broken', 'loads', 'reinstall', 'change', 'anything', 'browser', 'works', 'login']",[],"['broken', 'change', 'works']",False,[]
"Used it for studying and 90% of the time it gives wrong information, gaslights you, never accepts that it was wrong and above all it wastes so much time and resources. It's so frustrating that on one hand it'll always be like yes you're right and on the other it'll say something that COMPETELY contradicts what you've been saying.",1,negative,331,"['used', 'studying', 'time', 'gives', 'wrong', 'information', 'gaslights', 'never', 'accepts', 'wrong', 'wastes', 'much', 'time', 'resources', 'frustrating', 'one', 'hand', 'always', 'like', 'yes', 'right', 'say', 'something', 'competely', 'contradicts', 'saying']","['wrong', 'wrong', 'much', 'frustrating', 'right', 'other']","['Used', 'studying', 'gives', 'accepts', 'wastes', 'say', 'contradicts', 'saying']",False,"['error', 'ux']"
it is not safe for asking any doubt,1,negative,35,"['safe', 'asking', 'doubt']",['safe'],['asking'],False,[]
"Was great until updates ruined it, like EVERYTHING else nowadays. Every update just makes it more confused, inaccurate, and less user friendly. It can't even get basic info right anymore, and just makes up wild explanations if it doesn't have an answer.",1,negative,253,"['great', 'updates', 'ruined', 'like', 'everything', 'else', 'nowadays', 'every', 'update', 'makes', 'confused', 'inaccurate', 'less', 'user', 'friendly', 'even', 'get', 'basic', 'info', 'right', 'anymore', 'makes', 'wild', 'explanations', 'answer']","['great', 'confused', 'inaccurate', 'less', 'friendly', 'basic', 'wild']","['ruined', 'makes', 'get', 'makes', 'have']",True,['request']
"the app is stupid. it doesn't understand question. and it goes long winded, dramatic and flamboyant giving reply that provoke emotions or promote people to break relationship and trust with others. it is toxic. it won't take any criticism and won't admit it is stupid. everything something that triggered certain threshold the whole message get covered , censored claiming it violates usage policy. if chatgpt is so fragile you might as well sunset it. total taste if time. trash.",1,negative,480,"['app', 'stupid', 'understand', 'question', 'goes', 'long', 'winded', 'dramatic', 'flamboyant', 'giving', 'reply', 'provoke', 'emotions', 'promote', 'people', 'break', 'relationship', 'trust', 'others', 'toxic', 'take', 'criticism', 'admit', 'stupid', 'everything', 'something', 'triggered', 'certain', 'threshold', 'whole', 'message', 'get', 'covered', 'censored', 'claiming', 'violates', 'usage', 'policy', 'chatgpt', 'fragile', 'might', 'well', 'sunset', 'total', 'taste', 'time', 'trash']","['stupid', 'dramatic', 'flamboyant', 'toxic', 'stupid', 'certain', 'whole', 'fragile', 'total']","['understand', 'goes', 'winded', 'provoke', 'promote', 'break', 'take', 'admit', 'triggered', 'covered', 'censored', 'claiming', 'violates', 'sunset']",False,[]
"Huge issues with the app freezing while trying to create an account. Far too buggy, in my opinion. Fix this... maybe I'll try again in the future. As of now, not recommended! There are other AI apps that are much easier to connect with.",1,negative,236,"['huge', 'issues', 'app', 'freezing', 'trying', 'create', 'account', 'far', 'buggy', 'opinion', 'fix', 'maybe', 'try', 'future', 'recommended', 'ai', 'apps', 'much', 'easier', 'connect']","['Huge', 'buggy', 'other', 'easier']","['trying', 'create', 'Fix', 'try', 'recommended', 'are', 'connect']",True,['bug']
It's so annoying I just edited my picture and they said it's not allowed because I'm a minor even though I'm 19 years old,1,negative,121,"['annoying', 'edited', 'picture', 'said', 'allowed', 'minor', 'even', 'though', 'years', 'old']","['annoying', 'old']","['edited', 'said', 'allowed']",False,['ux']
GOOD BUT CHATS ARE RESET Problem I Give Only 1 Star,1,negative,51,"['good', 'chats', 'reset', 'problem', 'give', 'star']",['GOOD'],['Give'],False,[]
please do not install the app,1,negative,29,"['please', 'install', 'app']",[],['install'],True,[]
poor performance and quality of answer,1,negative,38,"['poor', 'performance', 'quality', 'answer']",['poor'],[],False,[]
I do not have a voice to hear chatgpt,1,negative,37,"['voice', 'hear', 'chatgpt']",[],"['have', 'hear']",False,[]
your chatgpt is so annoying and a jerk and so unfair,1,negative,52,"['chatgpt', 'annoying', 'jerk', 'unfair']","['annoying', 'unfair']",[],False,['ux']
CREATING IMAGE IS VERY SLOW,1,negative,27,"['creating', 'image', 'slow']",['SLOW'],['CREATING'],False,['ux']
"I don't know why, but for some reason, since the beginning of this year, I have been having issues with this app. In some of the chats I have made, large portions of the text disappear and are not ever recovered. Restarting(App and phone), logout/login, even uninstalling and reinstalling does nothing. And keeps saying in those chats that I'm offline, despite being connected to internet/mobile data. I just hope this problem actually gets fixed soon",1,negative,451,"['know', 'reason', 'since', 'beginning', 'year', 'issues', 'app', 'chats', 'made', 'large', 'portions', 'text', 'disappear', 'ever', 'recovered', 'restarting', 'app', 'phone', 'logout', 'login', 'even', 'uninstalling', 'reinstalling', 'nothing', 'keeps', 'saying', 'chats', 'offline', 'despite', 'connected', 'internet', 'mobile', 'data', 'hope', 'problem', 'actually', 'gets', 'fixed', 'soon']","['large', 'offline']","['know', 'having', 'made', 'disappear', 'recovered', 'uninstalling', 'does', 'keeps', 'saying', 'connected', 'hope', 'fixed']",False,[]
report all the people he is share your data with other person.,1,negative,62,"['report', 'people', 'share', 'data', 'person']",['other'],"['report', 'share']",False,[]
very backdated. not even updated with info from a year ago. overrated ai,1,negative,72,"['backdated', 'even', 'updated', 'info', 'year', 'ago', 'overrated', 'ai']",[],"['backdated', 'updated', 'overrated', 'ai']",False,[]
"Voice recognition gets worse every day with the only response being an ""unexpected error""... Probably cancelling my subscription as this error didn't improve in the last 10 months",1,negative,179,"['voice', 'recognition', 'gets', 'worse', 'every', 'day', 'response', 'unexpected', 'error', 'probably', 'cancelling', 'subscription', 'error', 'improve', 'last', 'months']","['worse', 'only', 'unexpected', 'last']","['gets', 'cancelling', 'improve']",True,"['request', 'pricing', 'bug']"
He's very stupid and answers randomly and I'm the one who corrects him,1,negative,70,"['stupid', 'answers', 'randomly', 'one', 'corrects']",['stupid'],['corrects'],False,[]
Its always lagging and loading if i open it it doesny show me thr chats and all.,1,negative,80,"['always', 'lagging', 'loading', 'open', 'doesny', 'show', 'thr', 'chats']",[],"['lagging', 'loading', 'open', 'doesny', 'show']",False,[]
"ChatGPT often gives wrong information with full confidence, which is very frustrating. It makes it hard to trust the answers, especially when accuracy matters.",1,negative,159,"['chatgpt', 'often', 'gives', 'wrong', 'information', 'full', 'confidence', 'frustrating', 'makes', 'hard', 'trust', 'answers', 'especially', 'accuracy', 'matters']","['wrong', 'full', 'frustrating', 'hard']","['gives', 'makes', 'trust']",False,"['error', 'ux']"
"very stuiped app , not good in transferring data from video to word or excel , keep crashing and consume time without fulfilling required tasks",1,negative,143,"['stuiped', 'app', 'good', 'transferring', 'data', 'video', 'word', 'excel', 'keep', 'crashing', 'consume', 'time', 'without', 'fulfilling', 'required', 'tasks']",['good'],"['stuiped', 'transferring', 'excel', 'crashing', 'consume', 'fulfilling', 'required']",False,[]
used it for a year on paid plan. but I found better option elsewhere. it just didn't meet my needs.,2,negative,99,"['used', 'year', 'paid', 'plan', 'found', 'better', 'option', 'elsewhere', 'meet', 'needs']",['better'],"['used', 'paid', 'found', 'meet']",False,[]
why my question and your answer deleted after i close this app,1,negative,62,"['question', 'answer', 'deleted', 'close', 'app']",[],"['deleted', 'close']",False,[]
more fake and wrong details,2,negative,27,"['fake', 'wrong', 'details']","['fake', 'wrong']",[],False,['error']
whenever I doing math question and ask for explaining it says limit reached new chat so pls increase the limit,1,negative,110,"['whenever', 'math', 'question', 'ask', 'explaining', 'says', 'limit', 'reached', 'new', 'chat', 'pls', 'increase', 'limit']",['new'],"['doing', 'ask', 'explaining', 'says', 'reached', 'increase']",False,[]
this app is not helpful 😤🤨,1,negative,26,"['app', 'helpful']",['helpful'],[],False,[]
"we all know, so uninstalled",1,negative,27,"['know', 'uninstalled']",['uninstalled'],['know'],False,[]
now it acts up lately. whichever i use. wifi connection or mobile data. it keep losing the fresh conversations that I have to start over it makes me want to use it less. really annoying.,1,negative,186,"['acts', 'lately', 'whichever', 'use', 'wifi', 'connection', 'mobile', 'data', 'keep', 'losing', 'fresh', 'conversations', 'start', 'makes', 'want', 'use', 'less', 'really', 'annoying']","['mobile', 'fresh', 'annoying']","['acts', 'use', 'keep', 'losing', 'have', 'start', 'makes', 'want', 'use']",False,"['request', 'ux']"
"constantly changing answers and not accepting when it simply doesn't know the answer, irritating the user. Constantly arguing and trying to be over smart by rephrasing the answer of the user and calling it correction, just accept you don't know instead of continuing to guess constantly without end. Arguing and irritating the user, this is the biggest issue with it, rephrasing, saying you are close when there was clearly no need for it . Still laughing and joking when I am clearly angry at it.",1,negative,497,"['constantly', 'changing', 'answers', 'accepting', 'simply', 'know', 'answer', 'irritating', 'user', 'constantly', 'arguing', 'trying', 'smart', 'rephrasing', 'answer', 'user', 'calling', 'correction', 'accept', 'know', 'instead', 'continuing', 'guess', 'constantly', 'without', 'end', 'arguing', 'irritating', 'user', 'biggest', 'issue', 'rephrasing', 'saying', 'close', 'clearly', 'need', 'still', 'laughing', 'joking', 'clearly', 'angry']","['smart', 'biggest', 'close', 'angry']","['changing', 'accepting', 'know', 'irritating', 'arguing', 'trying', 'rephrasing', 'calling', 'accept', 'know', 'continuing', 'guess', 'Arguing', 'irritating', 'rephrasing', 'saying', 'was', 'laughing', 'joking']",True,['request']
"your system have our standard beauty for female especially the eyebrows: always trimming and with pencil, meanwhile the eyebrows of male keep the same without any differences change",2,negative,181,"['system', 'standard', 'beauty', 'female', 'especially', 'eyebrows', 'always', 'trimming', 'pencil', 'meanwhile', 'eyebrows', 'male', 'keep', 'without', 'differences', 'change']","['standard', 'female', 'same']","['have', 'trimming', 'keep']",False,[]
"continue with google keeps in loading state for few months now , galaxy s24 ultra.. fix it already",1,negative,98,"['continue', 'google', 'keeps', 'loading', 'state', 'months', 'galaxy', 'ultra', 'fix', 'already']","['few', 'ultra']","['continue', 'keeps', 'loading', 'galaxy', 'fix']",True,['bug']
because when I role-playing someone did something it said it me,1,negative,63,"['role', 'playing', 'someone', 'something', 'said']",[],"['playing', 'did', 'said']",False,[]
"app sucks! stop limiting my use, credits, upsells, it ruined the app. Never using again.",1,negative,88,"['app', 'sucks', 'stop', 'limiting', 'use', 'credits', 'upsells', 'ruined', 'app', 'never', 'using']",[],"['stop', 'limiting', 'ruined', 'using']",False,[]
Horrible. Provides false informations!,1,negative,38,"['horrible', 'provides', 'false', 'informations']","['Horrible', 'false']",['Provides'],False,['error']
not Bad app this best app,1,negative,25,"['bad', 'app', 'best', 'app']","['Bad', 'best']",[],False,[]
Easily forget ideas and discussions in the same thread.,1,negative,55,"['easily', 'forget', 'ideas', 'discussions', 'thread']",['same'],['forget'],False,[]
I find myself using chat GBT less and less considering the other big players out there.. for photo editing I found chat GBT to be pretty horrible. It will always come up with some type of restriction on why it can't do something that the other AI apps can do!! and do for free !! The two from Microsoft and Google don't but limits on me...,1,negative,339,"['find', 'using', 'chat', 'gbt', 'less', 'less', 'considering', 'big', 'players', 'photo', 'editing', 'found', 'chat', 'gbt', 'pretty', 'horrible', 'always', 'come', 'type', 'restriction', 'something', 'ai', 'apps', 'free', 'two', 'microsoft', 'google', 'limits']","['other', 'big', 'horrible', 'other', 'free']","['find', 'using', 'considering', 'found', 'chat', 'come', 'do', 'do', 'do']",False,['pricing']
I am very happy that I have a guidance tool who is always ready to help us,1,negative,74,"['happy', 'guidance', 'tool', 'always', 'ready', 'help', 'us']","['happy', 'ready']","['have', 'help']",False,[]
bhot purani information bta ta hai,1,negative,34,"['bhot', 'purani', 'information', 'bta', 'ta', 'hai']",[],['bta'],False,[]
IM SO ANGRY BECAUSE WHEN I TOLD SOMETHING THAT WAS CLEARY TRUE TO CHATGPT THEY SAID IT WAS NOT TRUE EVERYONE RATE IT 1 STAR THE APP IS POOP,1,negative,139,"['im', 'angry', 'told', 'something', 'cleary', 'true', 'chatgpt', 'said', 'true', 'everyone', 'rate', 'star', 'app', 'poop']",['TRUE'],"['TOLD', 'SAID']",False,[]
it's good but not fully satisfying 😕,1,negative,36,"['good', 'fully', 'satisfying']",['good'],['satisfying'],False,[]
bad app with bad values,1,negative,23,"['bad', 'app', 'bad', 'values']","['bad', 'bad']",[],False,[]
doesn't work the robot just does whatever he wants,1,negative,50,"['work', 'robot', 'whatever', 'wants']",[],"['work', 'does', 'wants']",False,[]
"When I make a chat, and when I make a mistake on my messages, like I can't edit my mistake, can you pls bring back the edit button pls? (I kinda like that feature a LOT, pls? 🥺🥺🥺🥺)",2,negative,180,"['make', 'chat', 'make', 'mistake', 'messages', 'like', 'edit', 'mistake', 'pls', 'bring', 'back', 'edit', 'button', 'pls', 'kinda', 'like', 'feature', 'lot', 'pls']",[],"['make', 'make', 'edit', 'bring', 'kinda', 'feature']",False,[]
doesnt say things that are real. it said Luna from book 11 from wings of fire book twelve was in book one. misinformation,1,negative,121,"['doesnt', 'say', 'things', 'real', 'said', 'luna', 'book', 'wings', 'fire', 'book', 'twelve', 'book', 'one', 'misinformation']",['real'],"['say', 'said']",False,[]
very greedy. used to be able to add 10 photos. but now. I literally have to wait until tomorrow to add photos! plus in order to add more I have to pay????? plus. I can only add 3 photos when the limit is over????? plus a limit for messages? be for real. please fix this.,1,negative,270,"['greedy', 'used', 'able', 'add', 'photos', 'literally', 'wait', 'tomorrow', 'add', 'photos', 'plus', 'order', 'add', 'pay', 'plus', 'add', 'photos', 'limit', 'plus', 'limit', 'messages', 'real', 'please', 'fix']","['greedy', 'able', 'more', 'real']","['used', 'add', 'have', 'wait', 'add', 'add', 'have', 'pay', 'add', 'fix']",True,"['request', 'pricing', 'bug']"
"good day chatgpt thank you for letting me use your subscription, it was the best budget subs i could get.. please dont SCAM me with 300 php i already paid the subcription but im still on free mode WHY? you ai help cant do anything... keep saying go to my play after my proffile but i dont see any my plan on the UI... whats happening.. seriously are you SCAMMING PEOPLE now...",1,negative,376,"['good', 'day', 'chatgpt', 'thank', 'letting', 'use', 'subscription', 'best', 'budget', 'subs', 'could', 'get', 'please', 'dont', 'scam', 'php', 'already', 'paid', 'subcription', 'im', 'still', 'free', 'mode', 'ai', 'help', 'cant', 'anything', 'keep', 'saying', 'go', 'play', 'proffile', 'dont', 'see', 'plan', 'ui', 'whats', 'happening', 'seriously', 'scamming', 'people']","['good', 'best', 'free']","['thank', 'letting', 'use', 'get', 'paid', 'm', 'ai', 'do', 'keep', 'saying', 'go', 'see', 'happening', 'SCAMMING']",True,['pricing']
"The latest update ruined the app, it's simply not as good as before.",2,negative,68,"['latest', 'update', 'ruined', 'app', 'simply', 'good']","['latest', 'good']",['ruined'],True,['request']
"Dumbest AI uses only searches no generative system, Dumb as Altman.",1,negative,67,"['dumbest', 'ai', 'uses', 'searches', 'generative', 'system', 'dumb', 'altman']",['generative'],"['uses', 'searches']",False,[]
"I used to use it here in Algeria, but it have been got stupid recently! Tbh It drive me mad, I deleted it.",1,negative,106,"['used', 'use', 'algeria', 'got', 'stupid', 'recently', 'tbh', 'drive', 'mad', 'deleted']","['stupid', 'mad']","['used', 'use', 'got', 'drive', 'deleted']",False,[]
"this use to be my favorite thing but something happened to where it just completely glitched out on me, kept refreshing to a topic I didn't talk about in weeks until it just erased almost a year worth of conversations by itself almost heart breaking",1,negative,249,"['use', 'favorite', 'thing', 'something', 'happened', 'completely', 'glitched', 'kept', 'refreshing', 'topic', 'talk', 'weeks', 'erased', 'almost', 'year', 'worth', 'conversations', 'almost', 'heart', 'breaking']",['favorite'],"['happened', 'glitched', 'kept', 'refreshing', 'talk', 'erased']",False,[]
soo much waiting on limit and forgetting everything 💢😡😡,1,negative,55,"['soo', 'much', 'waiting', 'limit', 'forgetting', 'everything']",[],"['soo', 'waiting', 'forgetting']",False,[]
Decent app. It's all the same too. Pay to get better.,2,negative,53,"['decent', 'app', 'pay', 'get', 'better']","['Decent', 'same', 'better']","['Pay', 'get']",False,['pricing']
he watch us without our permission.,1,negative,35,"['watch', 'us', 'without', 'permission']",[],['watch'],False,[]
so disappointing but sometimes it works,2,negative,39,"['disappointing', 'sometimes', 'works']",['disappointing'],['works'],False,[]
worst app not user friendly.,1,negative,28,"['worst', 'app', 'user', 'friendly']","['worst', 'friendly']",[],False,[]
"sometimes I got wrong answer , so when i explained it to chatgpt then I got my answer . you have to improve these mistakes !",2,negative,124,"['sometimes', 'got', 'wrong', 'answer', 'explained', 'chatgpt', 'got', 'answer', 'improve', 'mistakes']",['wrong'],"['got', 'explained', 'got', 'have', 'improve']",True,"['error', 'request']"
record feature broken,1,negative,21,"['record', 'feature', 'broken']",[],['broken'],False,[]
